DAT,temp,humidity,co2,ec,white_led_sum,blue_led_sum,red_led_sum,all_led_sum,white_led_count,blue_led_count,red_led_count,all_led_count
0.0,26.606793705263115,42.86181140971942,42.86181140971942,0.4980056131879471,273827.8499999999,67359.5,71156.4,412343.75,,,,
1.0,28.450277682145398,48.05770832697545,48.05770832697545,1.2167621795501937,273209.02999999997,138635.25,146118.84,557963.12,16.0,16.0,16.0,16.0
2.0,27.77166654533806,47.97472223838165,47.97472223838165,1.21554925706651,274047.5311,138746.4715,146567.2908,559361.2934,16.0,16.0,16.0,16.0
3.0,26.213313256594144,44.56855104021204,44.56855104021204,1.2133779785699261,273991.83729999996,138874.9245,146372.0244,559238.7862000001,16.0,16.0,16.0,16.0
4.0,25.46749995814425,50.05424082018781,50.05424082018781,1.2257119615044805,273518.43999999994,138478.6,146284.32,558281.3600000001,16.0,16.0,16.0,16.0
5.0,25.116944326294742,49.132430497805224,49.132430497805224,1.231046534081296,273209.02999999997,138321.95,145953.36,557484.3400000001,16.0,16.0,16.0,16.0
6.0,25.175694318612358,52.671946814998584,52.671946814998584,1.2326083299088229,273871.1673999999,138657.181,146638.4472,559166.7956,16.0,16.0,16.0,16.0
7.0,25.536045410241034,61.474701025101076,61.474701025101076,1.2281695276197504,257317.73239999998,130119.756,137454.3072,524891.7956000002,16.0,16.0,16.0,16.0
8.0,25.990820757186725,58.529324427999576,58.529324427999576,1.2227094324775976,273209.02999999997,138321.95,146118.84,557649.8200000001,16.0,16.0,16.0,16.0
9.0,25.726998553819303,53.41446684547284,53.41446684547284,1.2290617896675353,273518.43999999994,138478.6,146284.32,558281.3600000001,16.0,16.0,16.0,16.0
10.0,26.34456087846985,60.1109898666428,60.1109898666428,1.224008964141037,274121.78949999996,138627.4175,146441.526,559190.7330000001,16.0,16.0,16.0,16.0
11.0,26.080028175409627,60.44201391802889,60.44201391802889,1.2253260595930904,274143.4481999999,138644.649,146618.5896,559406.6868000001,16.0,16.0,16.0,16.0
12.0,26.11569438510466,61.701736089918306,61.701736089918306,1.2229305151436012,273985.6490999999,138668.1465,146484.5508,559138.3464000002,16.0,16.0,16.0,16.0
13.0,26.37569425900772,65.08437494966715,65.08437494966715,1.2183899624480097,274028.9664999999,138737.0725,146722.842,559488.881,16.0,16.0,16.0,16.0
14.0,26.258748118795285,66.37759757765745,66.37759757765745,1.2126634703664112,255882.06999999998,129549.55000000002,136851.96,522283.5800000001,16.0,16.0,16.0,16.0
15.0,27.0290664731221,68.28498933265884,68.28498933265884,1.2061989990176971,273827.8499999999,138635.25,146449.8,558912.9,16.0,16.0,16.0,16.0
16.0,27.91803391103082,71.44489929347199,71.44489929347199,1.1933958219171783,273518.43999999994,138478.6,146284.32,558281.3600000001,16.0,16.0,16.0,16.0
17.0,28.0991665522257,75.05708326233754,75.05708326233754,1.1787722425328313,273518.43999999994,138478.6,146284.32,558281.3600000001,16.0,16.0,16.0,16.0
18.0,28.23937498066155,78.44395833545255,78.44395833545255,1.1549043678575046,273209.02999999997,138635.25,146449.8,558294.0800000002,16.0,16.0,16.0,16.0
19.0,28.451805588934107,79.82562489509577,79.82562489509577,1.1148165626658284,273209.02999999997,138321.95,146118.84,557649.8200000001,16.0,16.0,16.0,16.0
20.0,27.437291562557167,80.34715278943376,80.34715278943376,1.0667561933398204,273834.03819999995,138638.383,146453.1096,558925.5308000001,16.0,16.0,16.0,16.0
21.0,26.95543187490193,80.54216096456794,80.54216096456794,1.0153996195141883,259594.98999999996,131272.7,138672.24,529539.93,16.0,16.0,16.0,16.0
22.0,27.47055534654189,80.68256949848596,80.68256949848596,0.9857124903963651,273827.8499999999,138478.6,146449.8,558756.25,16.0,16.0,16.0,16.0
23.0,26.225485981835217,81.3246528042687,81.3246528042687,0.9665764286286297,274059.9074999999,138596.0875,146573.91,559229.9050000001,16.0,16.0,16.0,16.0
24.0,25.970949014061137,80.9574544392744,80.9574544392744,0.9480853733717249,273209.02999999997,138321.95,146449.8,557980.7800000001,16.0,16.0,16.0,16.0
25.0,25.893964168872714,81.24332971114892,81.24332971114892,0.9220755233490753,273518.43999999994,138321.95,146284.32,558124.7100000001,16.0,16.0,16.0,16.0
26.0,26.62211271398705,81.02638880941598,81.02638880941598,0.8922209838198287,273518.43999999994,138321.95,146284.32,558124.7100000001,16.0,16.0,16.0,16.0
27.0,26.683263692590884,81.82854169739612,81.82854169739612,0.8898039018942244,273654.5803999999,138704.176,146357.1312,558715.8876,16.0,16.0,16.0,16.0
